freq	gra abs	gra scat	sil abs	sil scat
4.528200000000000e-1	5.630000000000000e-22	1.130000000000000e-22	1.170000000000000e-22	1.940000000000000e-22
4.665700000000000e-1	5.230000000000000e-22	9.720000000000000e-23	1.400000000000000e-22	1.930000000000000e-22
4.807300000000000e-1	4.760000000000000e-22	8.380000000000000e-23	1.670000000000000e-22	1.880000000000000e-22
4.953200000000000e-1	4.340000000000000e-22	7.220000000000000e-23	1.980000000000000e-22	1.830000000000000e-22
5.103600000000000e-1	3.960000000000000e-22	6.230000000000000e-23	2.310000000000000e-22	1.760000000000000e-22
5.258500000000000e-1	3.640000000000000e-22	5.540000000000000e-23	2.660000000000000e-22	1.710000000000000e-22
5.418200000000000e-1	3.470000000000000e-22	5.500000000000000e-23	2.940000000000000e-22	1.700000000000000e-22
5.508200000000000e-1	3.380000000000000e-22	5.469999999999999e-23	3.110000000000000e-22	1.700000000000000e-22
5.524800000000000e-1	3.370000000000000e-22	5.469999999999999e-23	3.140000000000000e-22	1.700000000000000e-22
5.541400000000000e-1	3.350000000000000e-22	5.469999999999999e-23	3.170000000000000e-22	1.700000000000000e-22
5.558000000000000e-1	3.340000000000000e-22	5.460000000000000e-23	3.200000000000000e-22	1.700000000000000e-22
5.574700000000000e-1	3.320000000000000e-22	5.460000000000000e-23	3.240000000000000e-22	1.700000000000000e-22
5.591400000000000e-1	3.300000000000000e-22	5.450000000000000e-23	3.270000000000000e-22	1.700000000000000e-22
