#
# RATE05 - February 17 2006 - non-dipole - www.udfa.net
#
# REFERENCE: 
# Woodall, Ag\'undez, Markwick-Kemper, Millar, 2006, A\&A submitted.
#
# We strongly recommend you read the paper before attempting implementation of this data.
#
# *** NOTE: Exercise caution with use of the rate coefficients of the following reactions ***
# *** You need to do something about them, otherwise at 10 K you will get garbage results ***
# 93,172,267,283,289,311,314,353,355,379,421,433,445,448,450,459,468,490,492,493,495,503,
# 504,522,535,542,660,2938,2940,3527-8,3530-1,3546,3547,3549,3550,3552,3553,3575-3580,4001,4002,
# 4007,4008,4105,4109,4133,4551,4578,4586,4588,4589,4590,4594,4597,4598
#
# FORMAT:
# ix,reactant1,reactant2,reactant3,product1,product2,product3,product4,alpha,beta,gamma,clem,tmin,tmax,accuracy,source
#
236,N,C9N,,C2N,C7N,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
237,CH2,CH2,,CH3,CH,,,4.00E-10,0.00,5000.0,M,300,2500,C,NIST
238,CH2,CH2,,C2H2,H,H,,1.80E-10,0.00,400.0,L,300,3000,A,NIST
239,CH2,CH2,,C2H2,H2,,,2.63E-09,0.00,6013.0,M,1100,2720,A,NIST
240,CH2,CH2,,C2H3,H,,,3.32E-11,0.00,0.0,M,1600,2300,A,NIST
241,CH2,O,,OH,CH,,,4.98E-10,0.00,6000.0,M,1900,2300,A,NIST
242,CH2,O,,CO,H,H,,1.33E-10,0.00,0.0,L,10,2500,A,NIST
243,CH2,O,,CO,H2,,,8.00E-11,0.00,0.0,L,1900,2600,A,NIST
244,CH2,O,,HCO,H,,,5.01E-11,0.00,0.0,M,1200,1812,A,NIST
245,CH2,CH4,,CH3,CH3,,,7.13E-12,0.00,5050.0,M,296,2500,C,NIST
246,CH2,OH,,O,CH3,,,1.44E-11,0.50,3000.0,L,100,300,C,
247,CH2,OH,,H2O,CH,,,1.44E-11,0.50,3000.0,L,100,300,C,
248,CH2,OH,,H2CO,H,,,3.00E-11,0.00,0.0,L,10,2500,A,NIST
249,CH2,CN,,HCN,CH,,,5.30E-12,0.00,2500.0,L,83,300,C,
250,CH2,Si,,HCSi,H,,,1.00E-10,0.00,0.0,L,10,300,C,SH04
251,CH2,N2,,HCN,NH,,,8.00E-12,0.00,18000.0,M,1500,2000,A,NIST
