#			
# this is the "table1.dat" from the A&A web site, that goes with the paper			
# >>refer	all	dr	Mazzotta, P., Mazzitelli, G., Colafrancesco, S.,
# >>refercon	& Vittorio, N. 1998, A&AS, 113, 403-409		
#			
# anything starting with a # is a comment and is ignored			
#			
#   1-  8  A8    ---     Ion       Ion's label			
#  10- 20  E11.5 cm3/s   c1        c1 coefficient			
#  22- 32  E11.5 cm3/s   c2        ? c2 coefficient			
#  34- 44  E11.5 cm3/s   c3        ? c3 coefficient			
#  46- 56  E11.5 cm3/s   c4        ? c4 coefficient			
#  58- 64  F7.2  cm3/s   E1        E1 coefficient			
#  66- 72  F7.2  cm3/s   E2        ? E2 coefficient			
#  74- 79  F6.2  cm3/s   E3        ? E3 coefficient			
#  81- 86  F6.2  cm3/s   E4        ? E4 coefficient
#
# NB - this file is tab delimited, so formatting info not needed
#			
5 11	1.69E-07	0.00E+00	0.00E+00	0.00E+00	32.99	0	0	0
5 12	4.66E-08	2.23E-07	6.66E-08	0.00E+00	140.52	553	30.74	0
5 13	6.84E-08	3.08E-08	2.28E-07	0.00E+00	24.17	151.73	525	0
5 14	6.57E-07	0.00E+00	0.00E+00	0.00E+00	515.79	0	0	0
5 15	1.92E-07	4.10E-09	8.66E-07	0.00E+00	296.21	64.61	525.97	0
5 16	7.37E-09	5.65E-07	2.04E-07	0.00E+00	46.05	575.33	322.95	0
5 17	4.87E-08	5.82E-07	0.00E+00	0.00E+00	64.33	585.52	0	0
5 18	7.06E-07	1.18E-07	0.00E+00	0.00E+00	619.14	65.17	0	0
5 19	6.33E-07	7.28E-08	0.00E+00	0.00E+00	643.97	60.37	0	0
5 20	2.91E-07	5.32E-08	8.79E-08	0.00E+00	752.79	35.61	204.16	0
5 21	2.52E-08	1.89E-08	2.95E-07	0.00E+00	75.02	17.1	755.19	0
5 22	4.93E-07	0.00E+00	0.00E+00	0.00E+00	4217.3	0	0	0
