SEQ='MG'     NUCCHG=21                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 159388039.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   190259.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   196766.7 
     4          2S2 2P6 3D1         (2)2( 1.5)   463272.1 
     5          2S2 2P6 3D1         (2)2( 2.5)   464451.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 161190454.1 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   204   133    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3789677.5*
   205   134    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3790715.2*
   206   135    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3796255.1*
   207   136    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3797547.1*
   208   137    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  3798656.1*
   209   138    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3800240.9*
   210   139    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  3805372.0*
   211   140    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3805738.5*
   212   141    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  3812021.2*
   213   142    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3816872.7*
   214   143    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3818421.2*
   215   144    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  3819327.7*
   216   145    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  3819485.1*
   217   146    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  3821215.2*
   218   147    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  3822125.0*
   219   148    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  3822149.0*
   220   149    2S2 2P5 3P3         (1)2( 2.0)  3823637.9*
   221   150    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  3825306.7*
   222   151    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3827321.9*
   223   152    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3828083.5*
   224   153    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3830124.3*
   225   154    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3832140.4*
   226   155    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3832886.9*
   227   156    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3833930.6*
   228   157    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3834679.8*
   229   158    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3837395.4*
   230   159    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3839567.1*
   231   160    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  3839737.2*
   232   161    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3839866.7*
   233   162    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  3844886.8*
   234   163    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3848572.3*
   235   164    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3851842.9*
   236   165    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3852078.6*
   237   166    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3852461.1*
   238   167    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3855750.3*
   239   168    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  3861527.5*
   240   169    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3861927.6*
   241   170    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  3861970.7*
   242   171    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3863534.5*
   243   172    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  3866101.4*
   244   173    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  3869932.9*
   245   174    2S2 2P5 3P3         (1)0( 0.0)  3871592.4*
   246   175    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3871838.0*
   247   660    2S2 2P5 3P2 3D1     (3)2( 1.0)  3871877.8*
   248   661    2S2 2P5 3P2 3D1     (5)2( 0.0)  3872606.2*
   249   176    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3873328.0*
   250   662    2S2 2P5 3P2 3D1     (3)2( 2.0)  3873930.4*
   251   663    2S2 2P5 3P2 3D1     (5)2( 1.0)  3873979.6*
   252   177    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3874996.8*
   253   664    2S2 2P5 3P2 3D1     (5)2( 2.0)  3876571.5*
   254   665    2S2 2P5 3P2 3D1     (3)2( 3.0)  3876902.3*
   255   666    2S2 2P5 3P2 3D1     (5)2( 3.0)  3880038.6*
   256   667    2S2 2P5 3P2 3D1     (5)3( 4.0)  3883183.5*
   257   668    2S2 2P5 3P2 3D1     (5)3( 5.0)  3883584.0*
   258   178    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  3885401.8*
   259   669    2S2 2P5 3P2 3D1     (3)3( 3.0)  3886008.4*
   260   670    2S2 2P5 3P2 3D1     (3)3( 4.0)  3886161.7*
   261   671    2S2 2P5 3P2 3D1     (3)4( 5.0)  3886328.4*
   262   672    2S2 2P5 3P2 3D1     (5)1( 1.0)  3887256.2*
   263   673    2S2 2P5 3P2 3D1     (5)2( 4.0)  3888008.8*
   264   674    2S2 2P5 3P2 3D1     (5)3( 2.0)  3889196.3*
   265   675    2S2 2P5 3P2 3D1     (5)3( 3.0)  3890031.1*
   266   676    2S2 2P5 3P2 3D1     (5)1( 2.0)  3892155.6*
   267   179    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  3894086.1*
   268   678    2S2 2P5 3P2 3D1     (3)3( 4.0)  3894818.6*
   269   679    2S2 2P5 3P2 3D1     (5)3( 1.0)  3895479.2*
   270   681    2S2 2P5 3P2 3D1     (3)3( 2.0)  3899290.1*
   271   682    2S2 2P5 3P2 3D1     (5)4( 4.0)  3899574.9*
   272   683    2S2 2P5 3P2 3D1     (5)1( 3.0)  3900418.8*
   273   684    2S2 2P5 3P2 3D1     (3)1( 2.0)  3901411.4*
   274   685    2S2 2P5 3P2 3D1     (5)4( 3.0)  3902193.3*
   275   686    2S2 2P5 3P2 3D1     (3)2( 3.0)  3904764.9*
   276   687    2S2 2P5 3P2 3D1     (3)3( 2.0)  3905052.8*
   277   180    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3905712.0*
   278   181    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3906100.3*
   279   688    2S2 2P5 3P2 3D1     (3)1( 1.0)  3906679.8*
   280   182    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3906765.2*
   281   689    2S2 2P5 3P2 3D1     (1)0( 0.0)  3906782.9*
   282   690    2S2 2P5 3P2 3D1     (3)3( 3.0)  3908763.0*
   283   691    2S2 2P5 3P2 3D1     (5)4( 2.0)  3910782.4*
   284   183    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  3911726.2*
   285   692    2S2 2P5 3P2 3D1     (3)0( 1.0)  3912212.7*
   286   693    2S2 2P5 3P2 3D1     (3)3( 4.0)  3913058.3*
   287   694    2S2 2P5 3P2 3D1     (5)3( 5.0)  3913534.7*
   288   695    2S2 2P5 3P2 3D1     (3)4( 3.0)  3913674.0*
   289   696    2S2 2P5 3P2 3D1     (5)3( 4.0)  3914635.8*
   290   697    2S2 2P5 3P2 3D1     (1)3( 3.0)  3919668.5*
   291   698    2S2 2P5 3P2 3D1     (1)2( 2.0)  3920174.4*
   292   699    2S2 2P5 3P2 3D1     (3)4( 3.0)  3921734.3*
   293   701    2S2 2P5 3P2 3D1     (5)3( 1.0)  3925178.4*
   294   702    2S2 2P5 3P2 3D1     (3)5( 5.0)  3925731.0*
   295   703    2S2 2P5 3P2 3D1     (5)3( 2.0)  3927301.5*
