SEQ='MG'     NUCCHG=29                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 325119064.1  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   325693.6 
     3          2S2 2P6 3P1         (2)1( 1.5)   360557.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   813451.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   821532.7 

   IC RESOLVED LEVEL INDEXING           BWNR= 330181359.8 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   180   108    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  8772783.1*
   181   109    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  8777878.3*
   182   110    2S2 2P5 3P3         (3)1( 1.0)  8782981.5*
   183   111    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  8788445.0*
   184   112    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8791111.9*
   185   113    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  8792450.1*
   186   114    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  8798210.1*
   187   115    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  8798549.3*
   188   116    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  8800190.1*
   189   117    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  8801024.1*
   190   118    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  8801927.6*
   191   119    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  8804282.1*
   192   120    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  8805531.5*
   193   121    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  8808252.9*
   194   122    2S2 2P5 3P3         (1)2( 2.0)  8811903.3*
   195   123    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  8812431.6*
   196   124    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8814399.4*
   197   125    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  8815956.4*
   198   126    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  8817199.6*
   199   127    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  8824050.4*
   200   128    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  8828712.7*
   201   129    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  8829305.9*
   202   130    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  8831092.4*
   203   131    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  8831112.7*
   204   132    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  8833819.9*
   205   133    2S2 2P5 3P3         (3)1( 0.0)  8835438.9*
   206   134    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  8837003.5*
   207   135    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  8837049.0*
   208   136    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  8838940.2*
   209   137    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  8842392.4*
   210   138    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  8842470.7*
   211   139    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  8842670.0*
   212   140    2S2 2P5 3P3         (3)1( 2.0)  8845658.1*
   213   141    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  8848990.2*
   214   142    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  8849328.5*
   215   143    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  8850132.0*
   216   144    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  8850727.8*
   217   145    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  8853926.7*
   218   146    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  8854404.8*
   219   147    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8857368.9*
   220   148    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8860212.2*
   221   149    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  8863395.4*
   222   150    2S2 2P5 3P3         (3)1( 1.0)  8868171.2*
   223   151    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  8869992.6*
   224   152    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8871604.1*
   225   153    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  8873641.1*
   226   154    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  8878017.1*
   227   155    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  8883973.7*
   228   156    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  8885361.2*
   229   157    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  8903198.3*
   230   158    2S2 2P5 3P3         (1)0( 0.0)  8905124.9*
   231   159    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  8910481.5*
   232   160    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  8912333.7*
   233   161    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  8914429.0*
   234   162    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  8919929.2*
   235   163    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8925115.2*
   236   164    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  8927168.7*
   237   660    2S2 2P5 3P2 3D1     (5)2( 0.0)  8928497.4*
   238   661    2S2 2P5 3P2 3D1     (5)2( 1.0)  8935156.7*
   239   662    2S2 2P5 3P2 3D1     (3)2( 1.0)  8941464.7*
   240   663    2S2 2P5 3P2 3D1     (5)2( 2.0)  8945180.4*
   241   664    2S2 2P5 3P2 3D1     (3)2( 2.0)  8948057.8*
   242   165    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  8949183.8*
   243   166    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  8951155.7*
   244   665    2S2 2P5 3P2 3D1     (3)2( 3.0)  8954131.6*
   245   167    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8956686.2*
   246   666    2S2 2P5 3P2 3D1     (5)3( 3.0)  8956972.5*
   247   667    2S2 2P5 3P2 3D1     (5)3( 4.0)  8960254.8*
   248   668    2S2 2P5 3P2 3D1     (5)1( 1.0)  8963095.9*
   249   669    2S2 2P5 3P2 3D1     (5)3( 5.0)  8964840.0*
   250   670    2S2 2P5 3P2 3D1     (5)2( 3.0)  8966187.8*
   251   671    2S2 2P5 3P2 3D1     (3)4( 4.0)  8968781.4*
   252   672    2S2 2P5 3P2 3D1     (3)3( 2.0)  8969651.4*
   253   168    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  8969739.4*
   254   673    2S2 2P5 3P2 3D1     (3)4( 5.0)  8974117.5*
   255   674    2S2 2P5 3P2 3D1     (3)4( 3.0)  8975878.0*
   256   169    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  8979553.7*
   257   675    2S2 2P5 3P2 3D1     (5)2( 4.0)  8979931.1*
   258   676    2S2 2P5 3P2 3D1     (5)1( 2.0)  8980349.2*
   259   170    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  8983824.2*
   260   171    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  8985611.4*
   261   172    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  8987487.8*
   262   678    2S2 2P5 3P2 3D1     (3)1( 2.0)  8988926.5*
   263   679    2S2 2P5 3P2 3D1     (1)4( 4.0)  8990050.1*
   264   680    2S2 2P5 3P2 3D1     (3)4( 3.0)  8992337.0*
   265   681    2S2 2P5 3P2 3D1     (1)0( 0.0)  8996309.7*
   266   682    2S2 2P5 3P2 3D1     (5)3( 1.0)  8997773.0*
   267   683    2S2 2P5 3P2 3D1     (3)4( 4.0)  8998912.3*
   268   173    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  8998930.0*
   269   684    2S2 2P5 3P2 3D1     (5)4( 5.0)  9000702.3*
   270   685    2S2 2P5 3P2 3D1     (3)2( 3.0)  9001475.8*
   271   174    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  9005583.4*
   272   175    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  9006159.5*
   273   686    2S2 2P5 3P2 3D1     (5)1( 3.0)  9006699.2*
   274   687    2S2 2P5 3P2 3D1     (1)1( 1.0)  9008313.2*
   275   688    2S2 2P5 3P2 3D1     (3)3( 2.0)  9008629.4*
   276   689    2S2 2P5 3P2 3D1     (3)3( 2.0)  9009274.8*
   277   176    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9011547.2*
   278   177    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  9011785.3*
   279   690    2S2 2P5 3P2 3D1     (3)1( 1.0)  9015095.5*
   280   691    2S2 2P5 3P2 3D1     (5)3( 2.0)  9017221.2*
   281   692    2S2 2P5 3P2 3D1     (3)3( 3.0)  9018215.2*
   282   693    2S2 2P5 3P2 3D1     (5)3( 4.0)  9022434.5*
   283   694    2S2 2P5 3P2 3D1     (3)3( 3.0)  9026594.4*
   284   695    2S2 2P5 3P2 3D1     (5)3( 5.0)  9028671.3*
   285   178    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9028829.7*
   286   696    2S2 2P5 3P2 3D1     (3)3( 4.0)  9030071.3*
   287   179    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9030741.1*
   288   697    2S2 2P5 3P2 3D1     (5)0( 2.0)  9034338.8*
   289   699    2S2 2P5 3P2 3D1     (3)5( 5.0)  9037672.3*
   290   180    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  9037947.8*
   291   700    2S2 2P5 3P2 3D1     (3)2( 3.0)  9039099.2*
   292   701    2S2 2P5 3P2 3D1     (3)2( 1.0)  9042277.2*
   293   702    2S2 2P5 3P2 3D1     (3)2( 2.0)  9042985.2*
   294   703    2S2 2P5 3P2 3D1     (5)2( 4.0)  9048845.6*
   295   704    2S2 2P5 3P2 3D1     (5)2( 0.0)  9050064.1*
