SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112598657.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   139159.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   141824.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   334980.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   335372.8 

   IC RESOLVED LEVEL INDEXING           BWNR= 113591701.4 NLVL=  1113
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   218   148    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2445977.9*
   219   149    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2446819.9*
   220   150    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  2448670.3*
   221   151    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2450895.4*
   222   152    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2451451.6*
   223   153    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2452753.1*
   224   154    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2454642.7*
   225   155    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2454914.1*
   226   156    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2456545.9*
   227   157    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2456801.8*
   228   158    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2457434.4*
   229   159    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2457533.6*
   230   160    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2459148.5*
   231   161    2S2 2P5 3P3         (3)1( 0.0)  2459393.7*
   232   162    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2459482.1*
   233   163    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2460899.0*
   234   164    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2461718.0*
   235   165    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2461959.3*
   236   166    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2462676.7*
   237   167    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2463622.7*
   238   168    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2469394.2*
   239   169    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2471566.9*
   240   170    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2471621.7*
   241   171    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  2472256.7*
   242   172    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2475057.7*
   243   173    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2475074.7*
   244   174    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2476939.0*
   245   175    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2477550.9*
   246   176    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2477967.9*
   247   660    2S2 2P5 3P2 3D1     (3)2( 1.0)  2478015.7*
   248   661    2S2 2P5 3P2 3D1     (3)2( 2.0)  2479194.4*
   249   177    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2479631.6*
   250   662    2S2 2P5 3P2 3D1     (5)2( 0.0)  2480808.5*
   251   663    2S2 2P5 3P2 3D1     (3)2( 3.0)  2480892.5*
   252   664    2S2 2P5 3P2 3D1     (5)2( 1.0)  2481388.4*
   253   665    2S2 2P5 3P2 3D1     (5)2( 2.0)  2482541.7*
   254   178    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2482856.3*
   255   666    2S2 2P5 3P2 3D1     (5)2( 3.0)  2484226.8*
   256   668    2S2 2P5 3P2 3D1     (5)3( 5.0)  2486560.5*
   257   669    2S2 2P5 3P2 3D1     (3)4( 5.0)  2487342.4*
   258   670    2S2 2P5 3P2 3D1     (3)4( 4.0)  2487541.9*
   259   671    2S2 2P5 3P2 3D1     (1)3( 3.0)  2488064.9*
   260   179    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2488787.5*
   261   672    2S2 2P5 3P2 3D1     (5)3( 4.0)  2489153.2*
   262   673    2S2 2P5 3P2 3D1     (5)3( 2.0)  2490257.1*
   263   674    2S2 2P5 3P2 3D1     (5)3( 3.0)  2490403.5*
   264   675    2S2 2P5 3P2 3D1     (5)1( 1.0)  2490724.6*
   265   676    2S2 2P5 3P2 3D1     (5)3( 1.0)  2492765.2*
   266   677    2S2 2P5 3P2 3D1     (1)4( 4.0)  2492775.2*
   267   678    2S2 2P5 3P2 3D1     (5)1( 2.0)  2493220.9*
   268   680    2S2 2P5 3P2 3D1     (3)3( 2.0)  2495300.6*
   269   683    2S2 2P5 3P2 3D1     (5)1( 3.0)  2497551.5*
   270   684    2S2 2P5 3P2 3D1     (3)3( 3.0)  2498363.4*
   271   685    2S2 2P5 3P2 3D1     (3)1( 2.0)  2499237.6*
   272   686    2S2 2P5 3P2 3D1     (5)4( 3.0)  2499811.4*
   273   687    2S2 2P5 3P2 3D1     (3)3( 2.0)  2501538.5*
   274   688    2S2 2P5 3P2 3D1     (3)1( 1.0)  2502555.2*
   275   180    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  2503549.1*
   276   689    2S2 2P5 3P2 3D1     (3)3( 3.0)  2503595.4*
   277   690    2S2 2P5 3P2 3D1     (3)1( 0.0)  2503857.1*
   278   691    2S2 2P5 3P2 3D1     (5)4( 2.0)  2504422.7*
   279   692    2S2 2P5 3P2 3D1     (3)4( 3.0)  2504947.6*
   280   693    2S2 2P5 3P2 3D1     (3)3( 4.0)  2505275.7*
   281   181    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2506236.2*
   282   182    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2506457.7*
   283   183    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2506493.9*
   284   694    2S2 2P5 3P2 3D1     (5)3( 5.0)  2507413.5*
   285   695    2S2 2P5 3P2 3D1     (1)1( 1.0)  2507794.1*
   286   696    2S2 2P5 3P2 3D1     (3)4( 3.0)  2507934.8*
   287   697    2S2 2P5 3P2 3D1     (5)3( 4.0)  2508476.7*
   288   698    2S2 2P5 3P2 3D1     (3)3( 4.0)  2509573.3*
   289   699    2S2 2P5 3P2 3D1     (3)2( 3.0)  2509688.6*
   290   700    2S2 2P5 3P2 3D1     (1)2( 2.0)  2509965.3*
   291   701    2S2 2P5 3P2 3D1     (5)3( 2.0)  2514628.7*
   292   702    2S2 2P5 3P2 3D1     (5)3( 1.0)  2514870.3*
   293   704    2S2 2P5 3P2 3D1     (5)3( 3.0)  2515436.4*
   294   705    2S2 2P5 3P2 3D1     (3)5( 5.0)  2517489.2*
   295   706    2S2 2P5 3P2 3D1     (3)4( 4.0)  2517865.6*
