SEQ='MG'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 350076065.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   342599.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   383777.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   859545.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   869257.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 355659006.2 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   278   692    2S2 2P5 3P2 3D1     (3)3( 2.0)  9798160.4*
   279   175    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  9798579.2*
   280   693    2S2 2P5 3P2 3D1     (3)4( 4.0)  9802146.8*
   281   176    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9803849.3*
   282   177    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  9804684.0*
   283   694    2S2 2P5 3P2 3D1     (3)3( 3.0)  9809475.9*
   284   695    2S2 2P5 3P2 3D1     (5)3( 5.0)  9810437.5*
   285   696    2S2 2P5 3P2 3D1     (3)3( 4.0)  9811050.1*
   286   697    2S2 2P5 3P2 3D1     (5)0( 2.0)  9813636.0*
   287   698    2S2 2P5 3P2 3D1     (3)5( 5.0)  9817857.1*
   288   699    2S2 2P5 3P2 3D1     (3)2( 3.0)  9819368.5*
   289   178    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9820936.4*
   290   179    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9821898.9*
   291   701    2S2 2P5 3P2 3D1     (3)2( 1.0)  9822688.6*
   292   702    2S2 2P5 3P2 3D1     (3)2( 2.0)  9824221.9*
   293   180    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  9829215.3*
   294   703    2S2 2P5 3P2 3D1     (5)2( 4.0)  9829248.9*
   295   704    2S2 2P5 3P2 3D1     (5)2( 0.0)  9829962.1*
