SEQ='NA'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  62720095.9  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63076909.1 NLVL=   181
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1    58  3  -1    8.830432E+00   3.304E+10   3.291E+10   5.578E+11   5.578E+11
     4    58  3  -1    7.387115E+00   6.380E+09
     5    58  3  -1    7.386735E+00   3.904E+09
     4    59  3  -1    7.399664E+00   3.605E+09   1.634E+10   1.266E+09   1.266E+09
     5    59  3  -1    7.399284E+00   9.561E+09
     1    60  3  -1    8.859966E+00   1.673E+11   1.008E+11   1.474E+12   1.474E+12
     4    60  3  -1    7.416649E+00   6.080E+09
     5    60  3  -1    7.416269E+00   5.298E+09
     1    61  3  -1    8.867161E+00   1.046E+11   1.209E+11   3.483E+12   3.483E+12
     4    61  3  -1    7.423844E+00   6.708E+09
     1    62  3  -1    8.943472E+00   6.343E+10   4.002E+10   1.376E+14   1.376E+14
     4    62  3  -1    7.500155E+00   5.431E+08
     5    62  3  -1    7.499775E+00   1.858E+09
     1    63  3  -1    8.952583E+00   2.521E+10   3.251E+10   1.124E+14   1.124E+14
     4    63  3  -1    7.509266E+00   1.330E+09
     5    64  3  -1    7.620915E+00   4.372E+09   1.094E+10   8.173E+12   8.173E+12
     4    65  3  -1    7.645807E+00   4.914E+09   1.332E+10   4.723E+12   4.723E+12
     5    65  3  -1    7.645427E+00   2.244E+09
     1    66  3  -1    9.129746E+00   2.991E+08   1.635E+10   1.344E+13   1.344E+13
     4    66  3  -1    7.686429E+00   6.723E+09
     5    66  3  -1    7.686049E+00   9.107E+08
     4    67  3  -1    7.694687E+00   4.158E+08   1.406E+10   3.387E+12   3.387E+12
     5    67  3  -1    7.694308E+00   5.916E+09
     1    68  3  -1    9.208865E+00   1.453E+10   2.495E+10   1.585E+14   1.585E+14
     4    68  3  -1    7.765548E+00   1.239E+08
     1    70  3  -1    9.239292E+00   3.032E+10   2.575E+10   1.400E+14   1.400E+14
     4    70  3  -1    7.795976E+00   5.043E+08
     5    70  3  -1    7.795596E+00   2.074E+07
     2    71  3  -1    8.608813E+00   2.257E+08   7.952E+08   9.866E+08   9.866E+08
     3    71  3  -1    8.603611E+00   2.587E+07
     3    72  3  -1    8.611590E+00   3.594E+08   9.474E+08   1.674E+09   1.674E+09
     3    77  3  -1    8.679705E+00   3.838E+09   4.976E+09   2.025E+10   2.025E+10
     2    79  3  -1    8.695253E+00   8.480E+09   6.775E+09   2.593E+10   2.593E+10
     3    79  3  -1    8.690051E+00   1.150E+08
     2    83  3  -1    8.748364E+00   9.002E+09   1.698E+10   2.872E+05   2.872E+05
     3    83  3  -1    8.743163E+00   2.186E+09
     2    84  3  -1    8.754772E+00   3.085E+09   4.325E+09   1.281E+10   1.281E+10
     3    84  3  -1    8.749570E+00   1.777E+09
     3    85  3  -1    8.752077E+00   1.950E+09   2.277E+09   7.252E+09   7.252E+09
     3    86  3  -1    8.758704E+00   3.915E+08   1.669E+09   3.375E+07   3.375E+07
     2    90  3  -1    8.784903E+00   1.205E+08   1.290E+10   1.471E+10   1.471E+10
     3    90  3  -1    8.779701E+00   9.363E+09
     3    91  3  -1    8.782516E+00   3.389E+09   4.652E+09   1.443E+10   1.443E+10
     3    92  3  -1    8.814597E+00   2.360E+08   5.955E+09   7.535E+04   7.535E+04
     3    93  3  -1    8.820482E+00   3.606E+08   5.985E+09   9.372E+07   9.372E+07
     2    94  3  -1    8.826230E+00   2.677E+08   7.341E+09   4.118E+10   4.118E+10
     3    94  3  -1    8.821028E+00   4.874E+08
     2    95  3  -1    8.840727E+00   6.773E+08   7.501E+09   6.121E+05   6.121E+05
