SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63076954.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    69764.0 
     3          2S2 2P6 3P1         (2)1( 1.5)    70231.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   158402.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   158438.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63342701.4 NLVL=   981
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   226   165    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1032501.6*
   227   660    2S2 2P5 3P2 3D1     (3)2( 1.0)  1032864.8*
   228   661    2S2 2P5 3P2 3D1     (3)2( 2.0)  1033266.6*
   229   166    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1033407.5*
   230   167    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1033553.9*
   231   662    2S2 2P5 3P2 3D1     (3)2( 3.0)  1033847.6*
   232   168    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  1033931.1*
   233   169    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1034674.0*
   234   170    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1035874.0*
   235   171    2S2 2P5 3P3         (3)1( 0.0)  1036156.1*
   236   664    2S2 2P5 3P2 3D1     (3)4( 4.0)  1036462.2*
   237   172    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1036570.0*
   238   665    2S2 2P5 3P2 3D1     (1)3( 3.0)  1036660.7*
   239   173    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1036899.7*
   240   174    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1036935.2*
   241   175    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1037564.7*
   242   666    2S2 2P5 3P2 3D1     (3)3( 4.0)  1037586.3*
   243   667    2S2 2P5 3P2 3D1     (5)2( 0.0)  1037721.4*
   244   668    2S2 2P5 3P2 3D1     (5)2( 1.0)  1037824.7*
   245   176    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1037969.5*
   246   669    2S2 2P5 3P2 3D1     (5)2( 2.0)  1038031.0*
   247   670    2S2 2P5 3P2 3D1     (5)2( 3.0)  1038314.6*
   248   673    2S2 2P5 3P2 3D1     (3)3( 2.0)  1038694.6*
   249   674    2S2 2P5 3P2 3D1     (3)3( 3.0)  1039394.0*
   250   177    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1040218.9*
   251   675    2S2 2P5 3P2 3D1     (5)3( 1.0)  1040306.8*
   252   676    2S2 2P5 3P2 3D1     (5)2( 4.0)  1040370.6*
   253   677    2S2 2P5 3P2 3D1     (5)3( 2.0)  1040375.4*
   254   678    2S2 2P5 3P2 3D1     (5)3( 3.0)  1040600.1*
   255   679    2S2 2P5 3P2 3D1     (3)4( 3.0)  1041257.6*
   256   178    2S2 2P5 3P3         (3)1( 1.0)  1041510.2*
   257   680    2S2 2P5 3P2 3D1     (5)1( 1.0)  1042272.6*
   258   681    2S2 2P5 3P2 3D1     (1)4( 4.0)  1042274.4*
   259   179    2S2 2P5 3P3         (3)1( 2.0)  1042828.0*
   260   683    2S2 2P5 3P2 3D1     (5)1( 2.0)  1042973.6*
   261   686    2S2 2P5 3P2 3D1     (5)1( 3.0)  1044329.8*
   262   687    2S2 2P5 3P2 3D1     (3)1( 2.0)  1044343.2*
   263   688    2S2 2P5 3P2 3D1     (5)4( 3.0)  1044797.4*
   264   689    2S2 2P5 3P2 3D1     (5)4( 2.0)  1045376.0*
   265   690    2S2 2P5 3P2 3D1     (3)1( 1.0)  1045405.5*
   266   691    2S2 2P5 3P2 3D1     (3)1( 0.0)  1046301.9*
   267   692    2S2 2P5 3P2 3D1     (3)3( 2.0)  1046687.7*
   268   693    2S2 2P5 3P2 3D1     (3)3( 3.0)  1047114.8*
   269   694    2S2 2P5 3P2 3D1     (1)2( 2.0)  1047477.9*
   270   695    2S2 2P5 3P2 3D1     (1)1( 1.0)  1047815.5*
   271   696    2S2 2P5 3P2 3D1     (3)2( 3.0)  1047899.7*
   272   697    2S2 2P5 3P2 3D1     (3)3( 4.0)  1048143.0*
   273   699    2S2 2P5 3P2 3D1     (3)4( 3.0)  1049194.1*
   274   700    2S2 2P5 3P2 3D1     (5)3( 4.0)  1049367.9*
   275   701    2S2 2P5 3P2 3D1     (3)2( 2.0)  1050270.5*
   276   702    2S2 2P5 3P2 3D1     (5)3( 3.0)  1051039.6*
   277   703    2S2 2P5 3P2 3D1     (3)4( 4.0)  1051367.2*
   278   704    2S2 2P5 3P2 3D1     (5)3( 2.0)  1051403.8*
   279   705    2S2 2P5 3P2 3D1     (3)0( 1.0)  1051427.5*
   280   706    2S2 2P5 3P2 3D1     (5)3( 1.0)  1051865.0*
   281   708    2S2 2P5 3P2 3D1     (3)1( 1.0)  1052481.4*
   282   711    2S2 2P5 3P2 3D1     (1)0( 0.0)  1054441.6*
   283   712    2S2 2P5 3P2 3D1     (3)3( 2.0)  1055083.1*
   284   713    2S2 2P5 3P2 3D1     (3)3( 3.0)  1055444.1*
   285   715    2S2 2P5 3P2 3D1     (3)3( 4.0)  1056358.1*
   286   180    2S2 2P5 3P3         (1)0( 0.0)  1056835.4*
   287   181    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1056895.7*
   288   182    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1056941.7*
   289   183    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1056952.7*
   290   717    2S2 2P5 3P2 3D1     (3)2( 3.0)  1057372.7*
   291   718    2S2 2P5 3P2 3D1     (3)2( 2.0)  1057425.5*
   292   719    2S2 2P5 3P2 3D1     (5)2( 0.0)  1057657.8*
   293   720    2S2 2P5 3P2 3D1     (5)2( 1.0)  1057676.1*
   294   721    2S2 2P5 3P2 3D1     (3)2( 1.0)  1057801.5*
   295   722    2S2 2P5 3P2 3D1     (5)2( 2.0)  1057839.3*
   296   723    2S2 2P5 3P2 3D1     (5)2( 3.0)  1058144.8*
