SEQ='NA'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  73568537.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74085637.4 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   185   237    1S2 2S1 2P6 3D2     (2)2( 1.5)  1966754.3*
   186   240    1S2 2S1 2P6 3D2     (2)1( 0.5)  1970803.2*
   187   241    1S2 2S1 2P6 3D2     (2)1( 1.5)  1970863.9*
   188   242    1S2 2S1 2P6 3D2     (2)0( 0.5)  2001699.3*
  
P  5     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1
     1     6  3  -1    9.463757E+00   3.034E+10   1.519E+10   2.053E+11   2.053E+11
     5     6  3  -1    7.608627E+00   1.527E+07
     1     7  3  -1    9.544732E+00   1.573E+10   1.575E+10   2.094E+11   2.094E+11
     4     7  3  -1    7.690417E+00   1.261E+07
     2     8  3  -1    9.206891E+00   4.337E+07   1.136E+08   5.690E+05   5.690E+05
     3     8  3  -1    9.198152E+00   9.192E+07
     3    10  3  -1    9.300827E+00   1.310E+09   8.735E+08   1.436E+05   1.436E+05
     2    11  3  -1    9.326586E+00   3.647E+09   1.857E+09   6.242E+07   6.242E+07
     3    11  3  -1    9.317847E+00   3.292E+07
     2    12  3  -1    9.344958E+00   1.157E+09   1.498E+09   3.803E+09   3.803E+09
     3    12  3  -1    9.336220E+00   1.706E+08
     3    13  3  -1    9.360437E+00   3.967E+09   2.645E+09   3.162E+08   3.162E+08
     2    14  3  -1    9.387891E+00   5.168E+09   6.600E+09   7.479E+08   7.479E+08
     3    14  3  -1    9.379153E+00   4.014E+09
     2    15  3  -1    9.400047E+00   7.445E+08   1.085E+09   1.265E+11   1.265E+11
     3    15  3  -1    9.391308E+00   1.626E+08
