SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085659.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    87341.3 
     3          2S2 2P6 3P1         (2)1( 1.5)    88138.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   203504.5 
     5          2S2 2P6 3D1         (2)2( 2.5)   203581.9 

   IC RESOLVED LEVEL INDEXING           BWNR=  74495206.5 NLVL=  1082
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   227   159    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1342629.1*
   228   160    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1343857.0*
   229   161    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1345994.0*
   230   162    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1346028.4*
   231   163    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1346135.8*
   232   164    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1346727.3*
   233   165    2S2 2P5 3P3         (3)1( 1.0)  1347996.2*
   234   166    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1348021.7*
   235   167    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1348349.6*
   236   168    2S2 2P5 3P3         (3)1( 0.0)  1348402.3*
   237   169    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1351614.5*
   238   170    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1351644.1*
   239   660    2S2 2P5 3P2 3D1     (3)2( 1.0)  1351654.5*
   240   171    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  1352089.6*
   241   661    2S2 2P5 3P2 3D1     (3)2( 2.0)  1352203.0*
   242   662    2S2 2P5 3P2 3D1     (3)2( 3.0)  1353009.3*
   243   172    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1353384.5*
   244   173    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1353617.3*
   245   174    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1353964.4*
   246   175    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1354061.4*
   247   176    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1355021.7*
   248   663    2S2 2P5 3P2 3D1     (5)2( 0.0)  1355996.3*
   249   664    2S2 2P5 3P2 3D1     (3)4( 5.0)  1356172.3*
   250   665    2S2 2P5 3P2 3D1     (5)2( 1.0)  1356184.5*
   251   177    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1356372.8*
   252   666    2S2 2P5 3P2 3D1     (5)2( 2.0)  1356565.8*
   253   667    2S2 2P5 3P2 3D1     (3)4( 4.0)  1356707.7*
   254   668    2S2 2P5 3P2 3D1     (1)3( 3.0)  1357045.9*
   255   669    2S2 2P5 3P2 3D1     (5)2( 3.0)  1357136.7*
   256   670    2S2 2P5 3P2 3D1     (5)3( 4.0)  1357728.2*
   257   672    2S2 2P5 3P2 3D1     (3)3( 4.0)  1358178.8*
   258   178    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1358554.4*
   259   179    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1358996.4*
   260   673    2S2 2P5 3P2 3D1     (3)3( 2.0)  1359182.0*
   261   674    2S2 2P5 3P2 3D1     (5)3( 3.0)  1359479.7*
   262   675    2S2 2P5 3P2 3D1     (5)2( 4.0)  1360167.5*
   263   676    2S2 2P5 3P2 3D1     (5)3( 1.0)  1360379.1*
   264   677    2S2 2P5 3P2 3D1     (5)3( 2.0)  1360766.3*
   265   678    2S2 2P5 3P2 3D1     (5)1( 1.0)  1361814.0*
   266   679    2S2 2P5 3P2 3D1     (3)3( 3.0)  1361825.4*
   267   681    2S2 2P5 3P2 3D1     (5)1( 2.0)  1362854.8*
   268   682    2S2 2P5 3P2 3D1     (3)4( 3.0)  1363396.2*
   269   684    2S2 2P5 3P2 3D1     (5)4( 4.0)  1364465.5*
   270   685    2S2 2P5 3P2 3D1     (5)1( 3.0)  1364718.4*
   271   686    2S2 2P5 3P2 3D1     (1)4( 4.0)  1364912.1*
   272   687    2S2 2P5 3P2 3D1     (3)1( 2.0)  1365508.9*
   273   688    2S2 2P5 3P2 3D1     (5)4( 3.0)  1365615.6*
   274   689    2S2 2P5 3P2 3D1     (5)4( 2.0)  1366554.7*
   275   690    2S2 2P5 3P2 3D1     (3)1( 1.0)  1367029.7*
   276   691    2S2 2P5 3P2 3D1     (3)1( 0.0)  1368113.5*
   277   692    2S2 2P5 3P2 3D1     (3)3( 2.0)  1368233.3*
   278   693    2S2 2P5 3P2 3D1     (3)3( 3.0)  1368771.2*
   279   694    2S2 2P5 3P2 3D1     (3)3( 4.0)  1370221.1*
   280   695    2S2 2P5 3P2 3D1     (3)2( 3.0)  1370263.9*
   281   696    2S2 2P5 3P2 3D1     (1)1( 1.0)  1370378.1*
   282   697    2S2 2P5 3P2 3D1     (1)2( 2.0)  1370395.7*
   283   698    2S2 2P5 3P2 3D1     (5)3( 5.0)  1370580.3*
   284   699    2S2 2P5 3P2 3D1     (3)4( 3.0)  1371130.5*
   285   700    2S2 2P5 3P2 3D1     (5)3( 4.0)  1371252.2*
   286   180    2S2 2P5 3P3         (1)0( 0.0)  1373335.7*
   287   701    2S2 2P5 3P2 3D1     (3)2( 2.0)  1373597.0*
   288   702    2S2 2P5 3P2 3D1     (5)3( 3.0)  1373712.0*
   289   703    2S2 2P5 3P2 3D1     (5)3( 2.0)  1374309.7*
   290   704    2S2 2P5 3P2 3D1     (5)3( 1.0)  1374319.4*
   291   705    2S2 2P5 3P2 3D1     (3)4( 4.0)  1374348.0*
   292   706    2S2 2P5 3P2 3D1     (3)0( 1.0)  1375354.9*
   293   707    2S2 2P5 3P2 3D1     (3)4( 5.0)  1375616.2*
   294   709    2S2 2P5 3P2 3D1     (3)2( 1.0)  1376642.7*
   295   181    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1376689.8*
