SEQ='NA'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  97930480.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  98844272.0 NLVL=   190
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1    46  3  -1    1.750725E+01   4.407E+10   2.773E+10   8.009E+11   8.009E+11
     4    46  3  -1    1.484922E+01   5.787E+07
     5    46  3  -1    1.484666E+01   4.931E+08
     5    48  3  -1    1.487702E+01   3.749E+09   1.161E+10   8.406E+09   8.406E+09
     4    49  3  -1    1.490463E+01   9.134E+09   1.576E+10   1.106E+10   1.106E+10
     5    49  3  -1    1.490207E+01   7.924E+08
     1    50  3  -1    1.758569E+01   1.650E+10   3.257E+10   2.269E+13   2.269E+13
     4    50  3  -1    1.492766E+01   5.213E+09
     1    51  3  -1    1.759168E+01   3.824E+09   1.888E+10   2.624E+09   2.624E+09
     4    51  3  -1    1.493366E+01   7.729E+09
     5    51  3  -1    1.493109E+01   1.781E+08
     5    52  3  -1    1.495987E+01   1.653E+10   2.148E+10   3.817E+10   3.817E+10
     4    53  3  -1    1.498288E+01   2.645E+10   3.886E+10   5.263E+10   5.263E+10
     5    53  3  -1    1.498032E+01   1.227E+10
     1    54  3  -1    1.765771E+01   1.044E+11   1.201E+11   1.156E+12   1.156E+12
     4    54  3  -1    1.499968E+01   3.350E+09
     1    55  3  -1    1.767260E+01   1.682E+11   1.056E+11   1.399E+11   1.399E+11
     5    55  3  -1    1.501201E+01   8.407E+09
     4    56  3  -1    1.506551E+01   2.475E+10   2.964E+10   5.157E+10   5.157E+10
     5    56  3  -1    1.506295E+01   4.248E+09
     1    57  3  -1    1.774666E+01   8.876E+10   1.039E+11   5.060E+12   5.060E+12
     4    57  3  -1    1.508864E+01   1.968E+10
     5    57  3  -1    1.508607E+01   2.083E+10
     5    58  3  -1    1.509711E+01   4.685E+10   4.380E+10   1.752E+11   1.752E+11
     4    59  3  -1    1.511985E+01   1.713E+10   5.986E+10   2.147E+10   2.147E+10
     5    59  3  -1    1.511729E+01   3.934E+10
     1    60  3  -1    1.778974E+01   6.509E+10   1.043E+11   5.937E+13   5.937E+13
     4    60  3  -1    1.513171E+01   3.491E+10
     5    60  3  -1    1.512915E+01   1.945E+10
     1    61  3  -1    1.779805E+01   6.066E+10   1.224E+11   5.646E+13   5.646E+13
     4    61  3  -1    1.514003E+01   2.738E+10
     1    62  3  -1    1.791681E+01   1.822E+12   9.304E+11   1.555E+14   1.555E+14
