SEQ='NE'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  71808099.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                          2.184E+09   5.933E+13   1.770E+13   2.298E+13   1.866E+13   1.607E+13
                                                                          2.113E+11   6.207E+10   2.362E+11   6.103E+11   2.621E+10   2.195E+10
                                                                          9.106E+10   2.874E+13   1.042E+13   1.298E+11   4.103E+10   0.000E+00
     6    31  3  -1    1.485359E+02   6.573E+12
     8    31  3  -1    1.484268E+02   1.408E+13
     9    31  3  -1    1.484001E+02   2.029E+12
    10    31  3  -1    1.483659E+02   2.465E+12
    11    31  3  -1    1.483376E+02   6.397E+12
    12    31  3  -1    1.483184E+02   1.614E+13
    13    31  3  -1    1.483100E+02   4.941E+10
    14    31  3  -1    1.483046E+02   1.465E+12
    15    31  3  -1    1.475326E+02   2.215E+11
     6    32  3  -1    1.485445E+02   6.464E+12   4.958E+13   7.289E+14   8.446E+12   7.190E+12   4.416E+12   3.851E+10   1.357E+10   3.286E+09
                                                                          1.490E+10   4.060E+09   1.729E+11   1.690E+10   2.706E+11   2.082E+11
                                                                          2.000E+11   1.161E+12   1.640E+11   6.650E+10   1.216E+10   4.113E+10
                                                                          1.370E+12   1.166E+13   4.217E+12   2.658E+12   7.707E+12   5.572E+12
                                                                          2.108E+13   1.711E+14   4.922E+13   1.065E+14   1.611E+13   3.576E+13
                                                                          3.767E+13   7.360E+10   1.348E+10   4.568E+09   1.039E+09   1.043E+13
                                                                          5.873E+04   1.565E+09   1.112E+09   2.280E+09   2.743E+09   7.062E+09
                                                                          2.130E+09   2.935E+10   3.895E+09   7.575E+09   2.545E+08   3.636E+10
                                                                          3.916E+10   9.401E+05   3.442E+06   2.178E+10   1.287E+11   1.570E+10
                                                                          3.138E+08   3.461E+10   9.902E+10   1.465E+10   2.498E+10   3.250E+09
                                                                          2.780E+08   9.327E+09   2.826E+09   1.058E+12   8.368E+11   3.788E+12
                                                                          1.641E+13   2.206E+12   7.288E+11   1.007E+11   9.455E+12   4.306E+12
                                                                          4.795E+12   5.761E+11   7.283E+11   6.644E+11   2.388E+12   4.389E+11
                                                                          2.866E+11   5.152E+10   9.163E+04   8.492E+05   3.746E+06   8.058E+05
                                                                          6.193E+07   4.877E+05   6.295E+06   3.725E+07   3.346E+07   3.814E+07
                                                                          3.212E+08   2.702E+07   8.078E+06   4.185E+08   1.109E+05   1.013E+09
                                                                          3.181E+09   5.314E+12   6.786E+13   7.734E+12   3.906E+13   1.528E+13
                                                                          3.755E+10   2.335E+11   8.308E+11   1.102E+10   1.438E+10   3.591E+10
                                                                          9.145E+10   1.804E+09   3.918E+13   1.716E+10   1.549E+11   0.000E+00
     7    32  3  -1    1.484476E+02   1.668E+13
     8    32  3  -1    1.484355E+02   9.916E+11
     9    32  3  -1    1.484088E+02   1.953E+11
    10    32  3  -1    1.483746E+02   7.329E+12
    11    32  3  -1    1.483463E+02   2.451E+12
    13    32  3  -1    1.483186E+02   8.122E+12
    14    32  3  -1    1.483133E+02   7.211E+12
